n,trial,method,length,time,approx_ratio
10,5,nearest_neighbor,312.11113313956673,4.145900038565742e-05,1.0
10,5,two_opt,312.11113313956673,2.299999960087007e-05,1.0
10,6,optimal,281.0092572375712,0.22804166600053577,1.0
10,6,nearest_neighbor,288.8286954275702,4.524999985733302e-05,1.0278262654649426
10,6,two_opt,287.76169971629713,4.045799960294971e-05,1.0240292527908335
10,7,optimal,365.5179644470321,0.220940915999563,1.0
10,7,nearest_neighbor,377.5667803962381,3.3959000575123355e-05,1.032963676538946
10,7,two_opt,371.84674434791236,2.8916999326611403e-05,1.017314552269557
10,8,optimal,230.1412618949475,0.22096904200043355,1.0
10,8,nearest_neighbor,230.14126189494746,3.5707999813894276e-05,0.9999999999999999
10,8,two_opt,230.14126189494746,2.0166000467725098e-05,0.9999999999999999
10,9,optimal,248.605412891378,0.22184733299945947,1.0
10,9,nearest_neighbor,248.60541289137802,3.5416000173427165e-05,1.0000000000000002
10,9,two_opt,248.60541289137802,2.0167000002402347e-05,1.0000000000000002
20,0,nearest_neighbor,323.2953320490729,0.00021887499951844802,
20,0,two_opt,315.8569218118676,0.000336666000293917,
20,1,nearest_neighbor,370.1901797994826,0.0002414580003460287,
20,1,two_opt,364.5862146864876,0.0005004999993616366,
20,2,nearest_neighbor,394.21408935606775,0.00023466699985874584,
20,2,two_opt,385.6184244945442,0.00019529199926182628,
20,3,nearest_neighbor,411.7865860792885,0.00023366700042970479,
20,3,two_opt,399.72917030832645,0.0007848340001146425,
20,4,nearest_neighbor,350.8563553987424,0.0003222919995096163,
20,4,two_opt,350.02523043009637,0.0006114580000939895,
20,5,nearest_neighbor,405.40633896369826,0.0003223330004402669,
20,5,two_opt,405.40633896369826,0.00023916699956316734,
20,6,nearest_neighbor,370.1998133141451,0.0003198750000592554,
20,6,two_opt,369.72008508252503,0.0004792079998878762,
20,7,nearest_neighbor,457.69595267982334,0.00032166700020752614,
20,7,two_opt,433.9410336683109,0.0011512080000102287,
20,8,nearest_neighbor,404.2068233615695,0.0003215830001863651,
20,8,two_opt,400.39364463462823,0.0005574999995587859,
20,9,nearest_neighbor,400.9691296084584,0.000232792000133486,
20,9,two_opt,384.13545417330675,0.0005947090003246558,
50,0,nearest_neighbor,671.5272686949667,0.0027843750003739842,
50,0,two_opt,582.7795664567903,0.020755874999849766,
50,1,nearest_neighbor,661.8964128448383,0.004127625000364787,
50,1,two_opt,598.303019333721,0.02263408300041192,
50,2,nearest_neighbor,623.9893810829512,0.0031508749998465646,
50,2,two_opt,597.3122000890304,0.015278625000064494,
50,3,nearest_neighbor,660.6147902846589,0.0031230419999701553,
50,3,two_opt,618.9520925755372,0.017682792000414338,
50,4,nearest_neighbor,637.760958782367,0.003042125000320084,
50,4,two_opt,626.8221355684024,0.010886125000070024,
50,5,nearest_neighbor,601.3500904557924,0.0036091249994569807,
50,5,two_opt,581.8772832204991,0.01082162500006234,
